query,generalized
What are the safety features of this model?,no
What are the engine capacities of this model?,no
I want to buy a truck,yes
Can I get a discount on this bus?,no
What is the price of this truck?,no
What are the engine capacities of this model?,no
Does this vehicle come with a warranty?,no
Recommend a vehicle for long-distance travel,yes
I want to buy a bus for transporting my staff,yes
What are the engine capacities of this model?,no
I want a bus for school transportation,yes
Show me some vehicles suitable for passenger transport,yes
What are the safety features of this model?,no
Can I get a discount on this bus?,no
I need a truck for construction work,yes
What are the safety features of this model?,no
I need a truck for construction work,yes
What is the price of this truck?,no
Show me some vehicles suitable for passenger transport,yes
What are the safety features of this model?,no
Does this vehicle come with a warranty?,no
Show me some more details for this application,no
Are there more options of vehicles available?,no
What is the fuel efficiency of this truck?,no
I want to buy a bus for transporting my staff,yes
Is this vehicle available in other colors?,no
Are there any financing options available?,no
I want a bus for school transportation,yes
Is this vehicle available in other colors?,no
What is the fuel efficiency of this truck?,no
Show me vehicles for delivery,yes
Show me vehicles for delivery,yes
Show me vehicles for delivery,yes
Can I get a discount on this bus?,no
What is the fuel efficiency of this truck?,no
Recommend a vehicle for long-distance travel,yes
Show me some vehicles suitable for passenger transport,yes
Show me some vehicles suitable for passenger transport,yes
What is the fuel efficiency of this truck?,no
I need a truck for construction work,yes
Does this vehicle come with a warranty?,no
I want to buy a bus for transporting my staff,yes
Recommend a vehicle for long-distance travel,yes
Are there any financing options available?,no
Can I get a discount on this bus?,no
What are the engine capacities of this model?,no
Is this vehicle available in other colors?,no
Looking for a vehicle for heavy loads,yes
Recommend a vehicle for long-distance travel,yes
Are there more options of vehicles available?,no
What are the engine capacities of this model?,no
I need a truck for construction work,yes
Does this vehicle come with a warranty?,no
I need a pickup for my business,yes
Can I get a discount on this bus?,no
What is the fuel efficiency of this truck?,no
Show me vehicles for delivery,yes
Show me vehicles for delivery,yes
Show me vehicles for delivery,yes
Show me some more details for this application,no
What are the safety features of this model?,no
Show me vehicles for delivery,yes
What is the fuel efficiency of this truck?,no
Show me some more details for this application,no
I need a pickup for my business,yes
Are there any financing options available?,no
I need a truck for construction work,yes
Can I get a discount on this bus?,no
I want to buy a truck,yes
Is this vehicle available in other colors?,no
Are there any financing options available?,no
Are there any financing options available?,no
I want to buy a truck,yes
I need a pickup for my business,yes
Can I get a discount on this bus?,no
Are there any financing options available?,no
Does this vehicle come with a warranty?,no
Can I get a discount on this bus?,no
Show me vehicles for delivery,yes
Show me vehicles for delivery,yes
I want a bus for school transportation,yes
Recommend a vehicle for long-distance travel,yes
What are the safety features of this model?,no
What are the safety features of this model?,no
Can I get a discount on this bus?,no
Show me some vehicles suitable for passenger transport,yes
Show me some more details for this application,no
Recommend a vehicle for long-distance travel,yes
Show me some more details for this application,no
Is this vehicle available in other colors?,no
Are there any financing options available?,no
Show me some more details for this application,no
Suggest a vehicle for urban deliveries,yes
Show me some vehicles suitable for passenger transport,yes
What are the safety features of this model?,no
Show me some more details for this application,no
Show me some vehicles suitable for passenger transport,yes
What is the price of this truck?,no
Are there more options of vehicles available?,no
I want to buy a truck,yes
Looking for a vehicle for heavy loads,yes
Looking for a vehicle for heavy loads,yes
Show me vehicles for delivery,yes
What is the fuel efficiency of this truck?,no
I want to buy a truck,yes
What are the safety features of this model?,no
I want a bus for school transportation,yes
Suggest a vehicle for urban deliveries,yes
What is the fuel efficiency of this truck?,no
Are there any financing options available?,no
Show me some more details for this application,no
I want to buy a truck,yes
Are there any financing options available?,no
Is this vehicle available in other colors?,no
Looking for a vehicle for heavy loads,yes
I want to buy a truck,yes
Are there more options of vehicles available?,no
I want to buy a truck,yes
What is the price of this truck?,no
Show me some vehicles suitable for passenger transport,yes
What is the fuel efficiency of this truck?,no
Does this vehicle come with a warranty?,no
Recommend a vehicle for long-distance travel,yes
Show me vehicles for delivery,yes
Does this vehicle come with a warranty?,no
I need a pickup for my business,yes
I need a pickup for my business,yes
Can I get a discount on this bus?,no
Is this vehicle available in other colors?,no
I need a pickup for my business,yes
Are there more options of vehicles available?,no
I need a pickup for my business,yes
Recommend a vehicle for long-distance travel,yes
Show me vehicles for delivery,yes
Looking for a vehicle for heavy loads,yes
Is this vehicle available in other colors?,no
I need a pickup for my business,yes
What are the engine capacities of this model?,no
I want a bus for school transportation,yes
What are the safety features of this model?,no
I want to buy a truck,yes
Is this vehicle available in other colors?,no
Looking for a vehicle for heavy loads,yes
I want to buy a bus for transporting my staff,yes
I want to buy a truck,yes
Can I get a discount on this bus?,no
What is the fuel efficiency of this truck?,no
Does this vehicle come with a warranty?,no
I need a pickup for my business,yes
Show me some vehicles suitable for passenger transport,yes
What are the engine capacities of this model?,no
What is the price of this truck?,no
Show me some vehicles suitable for passenger transport,yes
Looking for a vehicle for heavy loads,yes
Recommend a vehicle for long-distance travel,yes
Show me some vehicles suitable for passenger transport,yes
I want to buy a truck,yes
Does this vehicle come with a warranty?,no
What are the safety features of this model?,no
Suggest a vehicle for urban deliveries,yes
I want to buy a bus for transporting my staff,yes
Show me some vehicles suitable for passenger transport,yes
Suggest a vehicle for urban deliveries,yes
Suggest a vehicle for urban deliveries,yes
Is this vehicle available in other colors?,no
Looking for a vehicle for heavy loads,yes
Show me some more details for this application,no
Show me some more details for this application,no
Looking for a vehicle for heavy loads,yes
Show me vehicles for delivery,yes
Are there more options of vehicles available?,no
What is the fuel efficiency of this truck?,no
Show me vehicles for delivery,yes
What is the fuel efficiency of this truck?,no
Looking for a vehicle for heavy loads,yes
What are the safety features of this model?,no
Show me some more details for this application,no
I want a bus for school transportation,yes
What are the safety features of this model?,no
Can I get a discount on this bus?,no
Looking for a vehicle for heavy loads,yes
What are the safety features of this model?,no
Are there more options of vehicles available?,no
Does this vehicle come with a warranty?,no
Is this vehicle available in other colors?,no
Are there any financing options available?,no
What are the engine capacities of this model?,no
I want to buy a bus for transporting my staff,yes
Does this vehicle come with a warranty?,no
Suggest a vehicle for urban deliveries,yes
I need a truck for construction work,yes
I need a pickup for my business,yes
Are there more options of vehicles available?,no
Suggest a vehicle for urban deliveries,yes
Recommend a vehicle for long-distance travel,yes
What is the price of this truck?,no
What is the fuel efficiency of this truck?,no
Suggest a vehicle for urban deliveries,yes
I need a truck for construction work,yes
Show me some vehicles suitable for passenger transport,yes
I need a pickup for my business,yes
Looking for a vehicle for heavy loads,yes
What are the safety features of this model?,no
Suggest a vehicle for urban deliveries,yes
Show me some vehicles suitable for passenger transport,yes
Recommend a vehicle for long-distance travel,yes
What is the price of this truck?,no
What is the price of this truck?,no
Are there any financing options available?,no
I need a truck for construction work,yes
Show me vehicles for delivery,yes
I want a bus for school transportation,yes
I need a pickup for my business,yes
Are there more options of vehicles available?,no
What is the price of this truck?,no
I want a bus for school transportation,yes
I need a pickup for my business,yes
Does this vehicle come with a warranty?,no
Looking for a vehicle for heavy loads,yes
Show me vehicles for delivery,yes
What are the engine capacities of this model?,no
Does this vehicle come with a warranty?,no
Suggest a vehicle for urban deliveries,yes
I want a bus for school transportation,yes
Are there more options of vehicles available?,no
What are the engine capacities of this model?,no
Show me some more details for this application,no
Is this vehicle available in other colors?,no
I need a pickup for my business,yes
Show me some more details for this application,no
What are the engine capacities of this model?,no
Looking for a vehicle for heavy loads,yes
I want to buy a truck,yes
I want to buy a truck,yes
Are there more options of vehicles available?,no
What is the fuel efficiency of this truck?,no
Can I get a discount on this bus?,no
Can I get a discount on this bus?,no
What are the engine capacities of this model?,no
Is this vehicle available in other colors?,no
I want a bus for school transportation,yes
Show me some vehicles suitable for passenger transport,yes
I need a truck for construction work,yes
Suggest a vehicle for urban deliveries,yes
Suggest a vehicle for urban deliveries,yes
What is the fuel efficiency of this truck?,no
What is the fuel efficiency of this truck?,no
Show me some vehicles suitable for passenger transport,yes
I need a truck for construction work,yes
I want a bus for school transportation,yes
Are there any financing options available?,no
I want to buy a truck,yes
Show me vehicles for delivery,yes
I want a bus for school transportation,yes
Does this vehicle come with a warranty?,no
I want to buy a bus for transporting my staff,yes
I need a pickup for my business,yes
What is the price of this truck?,no
What are the safety features of this model?,no
I want to buy a truck,yes
Suggest a vehicle for urban deliveries,yes
Show me some vehicles suitable for passenger transport,yes
Are there any financing options available?,no
What is the fuel efficiency of this truck?,no
Looking for a vehicle for heavy loads,yes
Does this vehicle come with a warranty?,no
Suggest a vehicle for urban deliveries,yes
Does this vehicle come with a warranty?,no
I need a pickup for my business,yes
Recommend a vehicle for long-distance travel,yes
I want to buy a bus for transporting my staff,yes
I want a bus for school transportation,yes
I want to buy a truck,yes
Show me some more details for this application,no
I need a truck for construction work,yes
Can I get a discount on this bus?,no
Are there any financing options available?,no
I need a pickup for my business,yes
Are there more options of vehicles available?,no
Recommend a vehicle for long-distance travel,yes
I need a pickup for my business,yes
I want a bus for school transportation,yes
Are there more options of vehicles available?,no
I need a pickup for my business,yes
I want a bus for school transportation,yes
Show me vehicles for delivery,yes
Suggest a vehicle for urban deliveries,yes
What are the safety features of this model?,no
Can I get a discount on this bus?,no
Are there more options of vehicles available?,no
Are there more options of vehicles available?,no
Suggest a vehicle for urban deliveries,yes
Show me some vehicles suitable for passenger transport,yes
Recommend a vehicle for long-distance travel,yes
Are there any financing options available?,no
I want to buy a truck,yes
Show me some more details for this application,no
Show me some vehicles suitable for passenger transport,yes
Are there more options of vehicles available?,no
Does this vehicle come with a warranty?,no
I need a pickup for my business,yes
I want a bus for school transportation,yes
Show me vehicles for delivery,yes
What is the fuel efficiency of this truck?,no
Suggest a vehicle for urban deliveries,yes
Can I get a discount on this bus?,no
Show me vehicles for delivery,yes
Looking for a vehicle for heavy loads,yes
Are there any financing options available?,no
I need a truck for construction work,yes
Show me vehicles for delivery,yes
Show me some more details for this application,no
Does this vehicle come with a warranty?,no
What is the fuel efficiency of this truck?,no
I want to buy a truck,yes
Are there any financing options available?,no
I want to buy a bus for transporting my staff,yes
What is the fuel efficiency of this truck?,no
Suggest a vehicle for urban deliveries,yes
What are the safety features of this model?,no
I want to buy a bus for transporting my staff,yes
I want to buy a bus for transporting my staff,yes
Suggest a vehicle for urban deliveries,yes
Does this vehicle come with a warranty?,no
Show me some vehicles suitable for passenger transport,yes
I want a bus for school transportation,yes
Are there more options of vehicles available?,no
I want to buy a bus for transporting my staff,yes
I need a truck for construction work,yes
Show me some vehicles suitable for passenger transport,yes
I need a truck for construction work,yes
Recommend a vehicle for long-distance travel,yes
I need a truck for construction work,yes
I want a bus for school transportation,yes
Show me some more details for this application,no
I want to buy a truck,yes
What are the engine capacities of this model?,no
What are the engine capacities of this model?,no
Show me some vehicles suitable for passenger transport,yes
I want to buy a truck,yes
I want a bus for school transportation,yes
Show me some more details for this application,no
Suggest a vehicle for urban deliveries,yes
I want to buy a truck,yes
Are there any financing options available?,no
Is this vehicle available in other colors?,no
I want a bus for school transportation,yes
Recommend a vehicle for long-distance travel,yes
What is the fuel efficiency of this truck?,no
I need a pickup for my business,yes
Show me vehicles for delivery,yes
What are the engine capacities of this model?,no
I want to buy a bus for transporting my staff,yes
Are there any financing options available?,no
Are there any financing options available?,no
I need a truck for construction work,yes
Is this vehicle available in other colors?,no
What is the price of this truck?,no
Can I get a discount on this bus?,no
I want to buy a truck,yes
Suggest a vehicle for urban deliveries,yes
What is the price of this truck?,no
Recommend a vehicle for long-distance travel,yes
I want to buy a bus for transporting my staff,yes
What is the price of this truck?,no
Does this vehicle come with a warranty?,no
Recommend a vehicle for long-distance travel,yes
What is the fuel efficiency of this truck?,no
Is this vehicle available in other colors?,no
What is the fuel efficiency of this truck?,no
Suggest a vehicle for urban deliveries,yes
Does this vehicle come with a warranty?,no
What is the fuel efficiency of this truck?,no
Suggest a vehicle for urban deliveries,yes
What are the safety features of this model?,no
I want to buy a truck,yes
What is the price of this truck?,no
Are there more options of vehicles available?,no
I want a bus for school transportation,yes
Can I get a discount on this bus?,no
I need a truck for construction work,yes
Show me some more details for this application,no
I want to buy a truck,yes
Show me vehicles for delivery,yes
I need a truck for construction work,yes
Does this vehicle come with a warranty?,no
Show me some more details for this application,no
I want to buy a truck,yes
Are there more options of vehicles available?,no
What is the fuel efficiency of this truck?,no
Are there more options of vehicles available?,no
I want to buy a bus for transporting my staff,yes
Is this vehicle available in other colors?,no
I want a bus for school transportation,yes
Show me vehicles for delivery,yes
I want to buy a bus for transporting my staff,yes
What are the safety features of this model?,no
What are the engine capacities of this model?,no
Does this vehicle come with a warranty?,no
I want to buy a truck,yes
Suggest a vehicle for urban deliveries,yes
I need a pickup for my business,yes
Looking for a vehicle for heavy loads,yes
I want to buy a truck,yes
Does this vehicle come with a warranty?,no
Show me some vehicles suitable for passenger transport,yes
Show me vehicles for delivery,yes
Looking for a vehicle for heavy loads,yes
Recommend a vehicle for long-distance travel,yes
What is the fuel efficiency of this truck?,no
Are there any financing options available?,no
Does this vehicle come with a warranty?,no
I need a truck for construction work,yes
Can I get a discount on this bus?,no
Does this vehicle come with a warranty?,no
Show me some vehicles suitable for passenger transport,yes
Can I get a discount on this bus?,no
Can I get a discount on this bus?,no
Are there any financing options available?,no
I need a pickup for my business,yes
Recommend a vehicle for long-distance travel,yes
Does this vehicle come with a warranty?,no
I want a bus for school transportation,yes
What is the fuel efficiency of this truck?,no
I need a pickup for my business,yes
Are there more options of vehicles available?,no
Are there any financing options available?,no
Show me some vehicles suitable for passenger transport,yes
Can I get a discount on this bus?,no
I need a truck for construction work,yes
Are there any financing options available?,no
Are there more options of vehicles available?,no
Show me vehicles for delivery,yes
Are there any financing options available?,no
I want a bus for school transportation,yes
What are the engine capacities of this model?,no
I want to buy a truck,yes
I want to buy a truck,yes
I want to buy a truck,yes
I want to buy a truck,yes
I need a pickup for my business,yes
What are the engine capacities of this model?,no
I want to buy a bus for transporting my staff,yes
Is this vehicle available in other colors?,no
Show me some more details for this application,no
Show me vehicles for delivery,yes
Show me some vehicles suitable for passenger transport,yes
I want a bus for school transportation,yes
Can I get a discount on this bus?,no
Show me vehicles for delivery,yes
I want to buy a bus for transporting my staff,yes
Recommend a vehicle for long-distance travel,yes
Looking for a vehicle for heavy loads,yes
Is this vehicle available in other colors?,no
What is the fuel efficiency of this truck?,no
Suggest a vehicle for urban deliveries,yes
What is the price of this truck?,no
Is this vehicle available in other colors?,no
I want to buy a truck,yes
Are there more options of vehicles available?,no
Show me some vehicles suitable for passenger transport,yes
Show me some more details for this application,no
Is this vehicle available in other colors?,no
Can I get a discount on this bus?,no
I need a pickup for my business,yes
Can I get a discount on this bus?,no
Show me some more details for this application,no
What are the engine capacities of this model?,no
Recommend a vehicle for long-distance travel,yes
Suggest a vehicle for urban deliveries,yes
I want to buy a bus for transporting my staff,yes
Does this vehicle come with a warranty?,no
I need a pickup for my business,yes
Recommend a vehicle for long-distance travel,yes
Show me vehicles for delivery,yes
Does this vehicle come with a warranty?,no
Can I get a discount on this bus?,no
Show me some vehicles suitable for passenger transport,yes
I need a truck for construction work,yes
I need a pickup for my business,yes
What is the price of this truck?,no
I need a truck for construction work,yes
What are the engine capacities of this model?,no
I want to buy a truck,yes
What is the fuel efficiency of this truck?,no
What is the price of this truck?,no
Are there more options of vehicles available?,no
Recommend a vehicle for long-distance travel,yes
What is the price of this truck?,no
Recommend a vehicle for long-distance travel,yes
Are there more options of vehicles available?,no
Show me vehicles for delivery,yes
I want to buy a truck,yes
I want to buy a bus for transporting my staff,yes
What is the fuel efficiency of this truck?,no
Show me vehicles for delivery,yes
Show me some more details for this application,no
Does this vehicle come with a warranty?,no
Are there more options of vehicles available?,no
I want a bus for school transportation,yes
Recommend a vehicle for long-distance travel,yes
I need a truck for construction work,yes
What is the price of this truck?,no
Show me vehicles for delivery,yes
I need a pickup for my business,yes
Looking for a vehicle for heavy loads,yes
Does this vehicle come with a warranty?,no
Does this vehicle come with a warranty?,no
Is this vehicle available in other colors?,no
I want to buy a bus for transporting my staff,yes
Suggest a vehicle for urban deliveries,yes
What is the price of this truck?,no
What is the fuel efficiency of this truck?,no
What is the fuel efficiency of this truck?,no
Recommend a vehicle for long-distance travel,yes
Show me vehicles for delivery,yes
What is the price of this truck?,no
I want a bus for school transportation,yes
Can I get a discount on this bus?,no
What are the safety features of this model?,no
Is this vehicle available in other colors?,no
Show me some vehicles suitable for passenger transport,yes
Show me some more details for this application,no
Show me vehicles for delivery,yes
Suggest a vehicle for urban deliveries,yes
What is the fuel efficiency of this truck?,no
What are the engine capacities of this model?,no
Suggest a vehicle for urban deliveries,yes
Show me some vehicles suitable for passenger transport,yes
Show me some vehicles suitable for passenger transport,yes
I want to buy a bus for transporting my staff,yes
I need a pickup for my business,yes
Does this vehicle come with a warranty?,no
What is the fuel efficiency of this truck?,no
Is this vehicle available in other colors?,no
Are there any financing options available?,no
What is the fuel efficiency of this truck?,no
What is the fuel efficiency of this truck?,no
Can I get a discount on this bus?,no
Show me some vehicles suitable for passenger transport,yes
Recommend a vehicle for long-distance travel,yes
Looking for a vehicle for heavy loads,yes
Show me vehicles for delivery,yes
What is the fuel efficiency of this truck?,no
I need a pickup for my business,yes
I need a truck for construction work,yes
Recommend a vehicle for long-distance travel,yes
Is this vehicle available in other colors?,no
What are the safety features of this model?,no
Show me vehicles for delivery,yes
What are the safety features of this model?,no
Show me some more details for this application,no
What are the engine capacities of this model?,no
I need a truck for construction work,yes
I need a pickup for my business,yes
Recommend a vehicle for long-distance travel,yes
Recommend a vehicle for long-distance travel,yes
What is the price of this truck?,no
What is the price of this truck?,no
I want to buy a bus for transporting my staff,yes
Suggest a vehicle for urban deliveries,yes
Show me some more details for this application,no
What is the fuel efficiency of this truck?,no
I need a pickup for my business,yes
Looking for a vehicle for heavy loads,yes
I need a truck for construction work,yes
Are there more options of vehicles available?,no
Is this vehicle available in other colors?,no
I need a truck for construction work,yes
Recommend a vehicle for long-distance travel,yes
Are there more options of vehicles available?,no
Looking for a vehicle for heavy loads,yes
Can I get a discount on this bus?,no
Can I get a discount on this bus?,no
What are the engine capacities of this model?,no
What are the engine capacities of this model?,no
What is the price of this truck?,no
Are there any financing options available?,no
Can I get a discount on this bus?,no
Show me some vehicles suitable for passenger transport,yes
Are there any financing options available?,no
I want to buy a bus for transporting my staff,yes
Are there more options of vehicles available?,no
Are there any financing options available?,no
Are there more options of vehicles available?,no
I need a truck for construction work,yes
Looking for a vehicle for heavy loads,yes
I need a truck for construction work,yes
Show me some more details for this application,no
Is this vehicle available in other colors?,no
I want to buy a bus for transporting my staff,yes
Are there any financing options available?,no
I need a pickup for my business,yes
I want to buy a bus for transporting my staff,yes
Recommend a vehicle for long-distance travel,yes
I want to buy a bus for transporting my staff,yes
Are there any financing options available?,no
What is the fuel efficiency of this truck?,no
I need a pickup for my business,yes
I want a bus for school transportation,yes
Is this vehicle available in other colors?,no
Does this vehicle come with a warranty?,no
Does this vehicle come with a warranty?,no
Is this vehicle available in other colors?,no
What are the engine capacities of this model?,no
Is this vehicle available in other colors?,no
I want to buy a bus for transporting my staff,yes
Are there any financing options available?,no
Suggest a vehicle for urban deliveries,yes
Does this vehicle come with a warranty?,no
What are the safety features of this model?,no
What is the fuel efficiency of this truck?,no
